,Table,Row,Description,Special,
123,application_data,AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),,Numerical
124,application_data,AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),,Numerical
176,previous_application.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed,Numerical
177,previous_application.csv,SK_ID_CURR,ID of loan in our sample,hashed,
178,previous_application.csv,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",,
179,previous_application.csv,AMT_ANNUITY,Annuity of previous application,,
180,previous_application.csv,AMT_APPLICATION,For how much credit did client ask on the previous application,,
181,previous_application.csv,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",,
182,previous_application.csv,AMT_DOWN_PAYMENT,Down payment on the previous application,,
183,previous_application.csv,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,,
184,previous_application.csv,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,,
185,previous_application.csv,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,rounded,
186,previous_application.csv,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,,
187,previous_application.csv,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,,
188,previous_application.csv,NFLAG_MICRO_CASH,Flag Micro finance loan,,
189,previous_application.csv,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,normalized,
190,previous_application.csv,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,normalized,
191,previous_application.csv,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,normalized,
192,previous_application.csv,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,,
193,previous_application.csv,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",,
194,previous_application.csv,DAYS_DECISION,Relative to current application when was the decision about previous application made,time only relative to the application,
195,previous_application.csv,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,,
196,previous_application.csv,CODE_REJECT_REASON,Why was the previous application rejected,,
197,previous_application.csv,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,,
198,previous_application.csv,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,,
199,previous_application.csv,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,,
200,previous_application.csv,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, …",,
201,previous_application.csv,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,,
202,previous_application.csv,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,,
203,previous_application.csv,SELLERPLACE_AREA,Selling area of seller place of the previous application,,
204,previous_application.csv,NAME_SELLER_INDUSTRY,The industry of the seller,,
205,previous_application.csv,CNT_PAYMENT,Term of previous credit at application of the previous application,,
206,previous_application.csv,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,grouped,
207,previous_application.csv,PRODUCT_COMBINATION,Detailed product combination of the previous application,,
208,previous_application.csv,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application,
209,previous_application.csv,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application,
210,previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,time only relative to the application,
211,previous_application.csv,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application,
212,previous_application.csv,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application,
213,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,,
